pmid,species_name,species_id,gene_name,gene_id
39624436,,,,
39624449,,,CXCR4,7852
39624457,women,9606,,
39624462,,,,
39624491,,,,
39624499,tobacco,4097,,
39624500,patients,9606,CRP,1401
39624501,,,,
39624505,patients,9606,,
39624508,Sheep,9940,,
39624516,Nile tilapia,8128,IL-10,100694754
39624518,girls,9606,FVIII,2157
39624519,Patient,9606,,
39624521,patients,9606,BRCA2,675
39624530,patient,9606,,
39624531,participants,9606,,
39624532,,,,
39624539,patient,9606,,
39624541,patient,9606,,
39624543,patient,9606,,
39624558,patients,9606,,
39624562,patients,9606,,
39624565,patient,9606,,
39624568,,,THRB,7068
39624570,Patients,9606,insulin,3630
39624574,,,,
39624575,Patients,9606,,
39624577,Rubus idaeus L.,32247,,
39624590,patients,9606,,
39624591,patients,9606,YTHDF2,51441
39624592,human,9606,TGF-beta1,7040
39624595,patient,9606,,
39624597,patients,9606,,
39624599,Culex hutchinsoni,345742,COX1,4512
39624606,patients,9606,,
39624609,patients,9606,,
39624613,patients,9606,,
39624617,,,,
39624637,patient,9606,,
39624639,Patients,9606,,
39624643,Gryllus firmus,7000,,
39624661,,,,
39624662,European beech,28930,,
39624664,,,,
39624665,,,,
39624675,patient,9606,,
39624679,,,,
39624695,woman,9606,,
39624700,patient,9606,,
39624701,patient,9606,,
39624705,patient,9606,,
39624733,human,9606,,
39624745,human,9606,Foxp3,50943
39624752,patients,9606,,
39624760,,,,
39624761,patient,9606,,
39624762,patient,9606,,
39624771,Patients,9606,,
39624772,,,,
39624774,patients,9606,,
39624778,patients,9606,,
39624779,patient,9606,,
39624784,mice,10090,OVA,282665
39624785,,,,
39624794,Participants,9606,,
39624795,patients,9606,OCT,5362
39624797,patients,9606,IL6,3569
39624818,patients,9606,,
39624821,patients,9606,albumin,213
39624825,human,9606,,
39624832,patients,9606,,
39624840,rhubarbs,3621,EGFR,1956
39624864,patient,9606,,
39624865,,,,
39624869,patient,9606,,
39624883,,,,
39624889,Kudoa thyrsites,69470,,
39624902,,,TRIB1,10221
39624948,participant,9606,,
39624952,patients,9606,,
39624961,patients,9606,KPNA2,3838
39624963,patients,9606,,
39624969,,,,
39625057,,,DRP1,7402
39625059,,,,
39625078,patients,9606,,
39625087,,,,
39625092,human immunodeficiency virus,12721,,
39625101,patient,9606,tau,4137
39625105,child,9606,,
39625117,Synechocystis 6803,1148,RNA binding protein,27303
39625154,,,,
39625218,patients,9606,,
39625235,,,claudin-4,1364
39625239,,,SMARCA4,6597
39625256,,,phospholipase A2,5319
39625271,mice,10090,,
39625330,human,9606,,
39625348,patients,9606,RANKL,8600
39625349,patient,9606,,
39625374,dogs,9615,PTH,403986
39625383,Mussaenda pubescens,271247,,
39625409,,,,
39625432,,,,
39625433,Epstein-Barr virus,10376,,
39625435,patient,9606,,
39625441,patients,9606,,
39625442,patients,9606,,
39625466,,,,
39625475,,,,
39625477,human,9606,,
39625478,patients,9606,PD-1,5133
39625489,rats,10116,PPAR-gamma,5468
39625512,human,9606,Abeta,351
39625536,mouse,10090,Mtm1,17772
39625542,Haloarcula japonica,29282,,
39625547,,,,
39625565,patients,9606,KARS,3735
39625574,,,,
39625579,women,9606,,
39625581,,,,
39625582,,,,
39625605,,,,
39625618,men,9606,,
39625653,patients,9606,,
39625666,patients,9606,PSMA,2346
39625710,patients,9606,,
39625723,patients,9606,,
39625730,murine,10090,,
39625741,patients,9606,,
39625743,patients,9606,,
39625744,,,,
39625748,,,,
39625755,patients,9606,,
39625761,,,,
39625766,patient,9606,,
39625769,patient,9606,,
39625770,,,,
39625775,Patients,9606,,
39625778,child,9606,,
39625781,patients,9606,,
39625835,canine,9615,c-Kit,403811
39625846,,,,
39625858,patients,9606,Lp-PLA2,7941
39625867,patients,9606,TRK,4914
39625875,dogs,9615,,
39625878,patient,9606,,
39625883,,,,
39625896,,,KLRF1,51348
39625898,patients,9606,,
39625908,,,,
39625909,patients,9606,,
39625910,,,,
39625914,humans,9606,Sonic Hedgehog,6469
39625919,,,,
39625920,,,apolipoprotein e4,348
39625931,humans,9606,,
39625932,patients,9606,,
39625940,,,,
39625956,,,,
39625959,patients,9606,,
39625961,honey bee,7460,,
39625974,mouse,10090,mechanistic target of rapamycin,56717
39625975,yeast,4932,Rav1p,853490
39625980,,,,
39625982,human,9606,,
39625985,mice,10090,Casp8,841
39625988,,,,
39625997,,,,
39626004,patients,9606,,
39626017,,,tet,1263239
39626108,,,,
39626109,,,,
39626110,L. braziliensis,5660,,
39626123,,,,
39626157,patients,9606,,
39626229,Men,9606,,
39626233,mice,10090,parvalbumin,5816
39626240,infants,9606,,
39626273,patients,9606,,
39626297,patients,9606,SLAMF7,57823
39626300,patients,9606,CD19,930
39626305,,,,
39626311,SARS-CoV-2,2697049,,
39626319,human,9606,,
39614734,,,GRN,2896
39614746,,,,
39614747,,,,
39614830,,,,
39614927,patients,9606,,
39614963,patients,9606,,
39614965,SARS-CoV-2,2697049,,
39614987,,,,
39615018,patients,9606,,
39615027,Synechococcus,1129,,
39615055,men,9606,,
39615106,human,9606,XAF1,54739
39615252,Patients,9606,,
39615277,patients,9606,miRNA-200c,406985
39615283,mice,10090,LysMCre,17105
39615322,turkey,9103,FAM107B,100539851
39615395,patients,9606,,
39615398,women,9606,,
39615400,patients,9606,,
39615446,,,,
39615460,MPXV,10244,mpox,
39615498,MTBC,77643,,
39615586,,,,
39615678,,,TNFR1,7132
39615684,human,9606,,
39615785,mouse,10090,FKBP51,14229
39615894,human,9606,B7H3,80381
39616083,P. gingivalis,837,,
39616095,,,,
39616161,patients,9606,Hornerin,388697
39616162,SARS-CoV-2,2697049,MX1,4599
39616164,,,,
39616180,,,GLP-1,2740
39616191,,,,
39616195,TBEV,11084,NS5,5894
39616198,swine,9823,CACNA1C,775
39616202,,,,
39616207,,,,
39616208,rats,10116,mammalian target of rapamycin,2475
39616209,patients,9606,CD4,920
39616218,patients,9606,,
39616224,,,,
39616235,,,GPX4,2879
39616236,,,,
39616238,,,,
39616240,,,chemerin,5919
39616245,,,,
39616257,,,,
39616261,,,,
39616264,human,9606,,
39616268,participant,9606,,
39616282,,,,
39616288,mice,10090,ERK,5594
39616310,patients,9606,,
39616316,patients,9606,,
39616317,women,9606,,
39616326,patients,9606,neuropeptide Y,4852
39616330,,,,
39616332,patients,9606,,
39616337,patients,9606,,
39616343,,,,
39616347,patients,9606,,
39616352,patients,9606,,
39616359,,,,
39616360,,,,
39616361,patient,9606,,
39616362,patients,9606,,
39616363,patients,9606,,
39616366,men,9606,,
39616371,mice,10090,ApoE,348
39616372,patients,9606,,
39616374,,,,
39616398,patients,9606,,
39616408,human,9606,,
39616438,woman,9606,,
39616498,people,9606,,
39616510,rats,10116,AMPK,5563
39616564,patients,9606,,
39616585,patient,9606,,
39616597,patient,9606,,
39616606,girls,9606,,
39616611,infants,9606,,
39616675,chicken,9031,IL-4,416330
39616681,Mycoplasma gallisepticum,2096,,
39616718,,,,
39616722,,,,
39616739,girl,9606,,
39616740,,,,
39616748,patient,9606,,
39616749,Echinococcus granulosus,6210,,
39616884,,,NOX2,1536
39617036,,,,
39617150,patients,9606,,
39617269,yeast,4932,Ubr1,853096
39617270,,,insulin,3630
39617530,patients,9606,Axin2,8313
39617638,women,9606,,
39617642,Arabidopsis thaliana,3702,,
39617722,,,,
39617747,potato,4113,,
39617753,,,,
39617768,,,PHAX,51808
39617775,,,,
39617785,,,cytokine,943
39617786,patients,9606,VIM-AS1,100507347
39617794,patients,9606,,
39617801,,,,
39617804,swine,9823,,
39617809,,,,
39617823,,,,
39617837,Drosophila melanogaster,7227,ferritin,46415
39617875,,,,
39617885,,,,
39617886,participants,9606,,
39617893,mice,10090,TRPM7,54822
39617898,patients,9606,,
39617903,patients,9606,,
39617910,women,9606,,
39617913,patients,9606,PTGS1,5742
39617915,women,9606,,
39617940,women,9606,CRP,1401
39617955,patients,9606,,
39617990,human,9606,MT3,4504
39618031,,,,
39618038,mouse,10090,Nrf2,4780
39618071,,,,
39618072,patients,9606,,
39618078,patients,9606,VEGFR2,3791
39618117,anthrax,1392,,
39618121,patients,9606,,
39618123,patients,9606,,
39618158,,,,
39618181,mice,10090,SIRT6,51548
39618319,,,,
39618323,SARS-CoV-2,2697049,,
39618328,,,,
39618393,,,,
39618397,people,9606,,
